time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2023-02-12 13:08:37.530 UTC, , , , , , , , , ,589,3164125,17672,136, ,4, ,39,3,0.08, , , , , , , ,4,4, ,2, ,2,1,5, ,36,9, , , , , , , , , , , , , ,12856,2, ,10527, , , , , , ,-1,-1,-1,-1, , , , , ,3,115, , , , , , , , , , , , , , , , , , , , , , , , , , ,1676207317512,,, , , , , , , , , ,3145728,4294967861,2,2,2,2, , ,17,1,1,5,2, ,3,2, ,17, ,4278,4,253,2, , , ,127304,30,342,1, , , , , , ,47,55,76005248, , , , , , , ,33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-02-12 13:09:37.532 UTC, , , , , , , , , ,589,3176469,30040,112, ,5, ,46,1,0.02, , , , , , , ,5,5, , , ,3,1,6, ,24,24, , , , , , , , , , , , , ,12856,2, ,10527, , , , ,14429,24284221440,60,60,60,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14429,1676207317512,,, , , , , , , , , ,3145728,4294968794,2,2,1,2, , ,26,2,2,3,2, ,3,3, ,26,1,4270,3, , , , , ,12163,26,933,2, , , , , , ,115,130,179741168,1, , , , , , ,46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , ,38,2,2, , , , , , , , , 
2023-02-12 13:10:37.536 UTC, , , , , , , , , ,589,3176469,30040,112, ,5, , , , , , , , , , , ,5,5, , , ,3,1,6, , , , , , , , , , , , , , , , ,12856,2, ,10527, , , , ,14429,24284217344,60,60,60,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14429,1676207317512,,, , , , , , , , , ,3145728,4294968794, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,192324080,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-02-12 13:11:37.540 UTC, , , , , , , , , ,589,3176469,30040,112, ,5, , , , , , , , , , , ,5,5, , , ,3,1,6, , , , , , , , , , , , , , , , ,12856,2, ,10527, , , , ,14429,24284192768,60,60,60,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14429,1676207317512,,, , , , , , , , , ,3145728,4294968794, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,204906992,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-02-12 13:12:37.543 UTC, , , , , , , , , ,589,3176469,30040,112, ,5, , , , , , , , , , , ,5,5, , , ,3,1,6, , , , , , , , , , , , , , , , ,12856,2, ,10527, , , , ,14429,24278679552,60,60,60,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14429,1676207317512,,, , , , , , , , , ,3145728,4294968794, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,217489904,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-02-12 13:13:37.544 UTC, , , , , , , , , ,589,3176469,30040,112, ,5, , , , , , , , , , , ,5,5, , , ,3,1,6, , , , , , , , , , , , , , , , ,12856,2, ,10527, , , , ,14429,24272072704,60,60,60,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14429,1676207317512,,, , , , , , , , , ,3145728,4294968794, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,234267120,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-02-12 13:14:37.546 UTC, , , , , , , , , ,589,3176469,30040,112, ,5, , , , , , , , , , , ,5,5, , , ,3,1,6, , , , , , , , , , , , , , , , ,12856,2, ,10527, , , , ,14429,24271986688,60,60,60,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14429,1676207317512,,, , , , , , , , , ,3145728,4294968794, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , ,6,10,249057984, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-02-12 13:15:37.547 UTC, , , , , , , , , ,589,3176469,30040,112, ,5, , , , , , , , , , , ,5,5, , , ,3,1,6, , , , , , , , , , , , , , , , ,12856,2, ,10527, , , , ,14429,24271441920,60,60,60,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14429,1676207317512,,, , , , , , , , , ,3145728,4294968794, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,270029504,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-02-12 13:16:37.549 UTC, , , , , , , , , ,589,3176469,30040,112, ,5, , , , , , , , , , , ,5,5, , , ,3,1,6, , , , , , , , , , , , , , , , ,12856,2, ,10527, , , , ,14429,24275873792,60,60,60,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14429,1676207317512,,, , , , , , , , , ,3145728,4294968794, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , ,7,8,183615024,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-02-12 13:17:37.550 UTC, , , , , , , , , ,589,3176469,30040,112, ,5, , , , , , , , , , , ,5,5, , , ,3,1,6, , , , , , , , , , , , , , , , ,12856,2, ,10527, , , , ,14429,24283660288,60,60,60,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14429,1676207317512,,, , , , , , , , , ,3145728,4294968794, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , ,143,129,163765824,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
